country	iso	f1980	f1996	f2006	f2012	m1980	m1996	m2006	m2012
India	IND	3.0	2.7	3.3	3.2	33.8	31.9	27.1	23.0
Ireland	IRL	32.0	29.6	23.2	24.2	38.2	32.3	23.9	24.8
Iran	IRN	3.2	3.4	2.2	1.6	24.4	23.5	23.1	23.1
Iraq	IRQ	2.4	2.3	2.9	3.0	36.0	36.5	32.9	33.0
Iceland	ISL	35.2	28.4	18.7	13.1	40.3	28.7	21.6	15.9
Israel	ISR	27.3	23.7	14.8	13.8	39.0	32.0	27.3	26.1
Italy	ITA	22.8	21.4	19.8	21.7	44.3	32.2	28.5	27.1
Jamaica	JAM	7.0	7.3	4.0	3.8	27.6	27.5	26.9	27.1
Jordan	JOR	10.5	9.1	8.4	8.5	53.1	46.6	44.2	43.4
Japan	JPN	13.0	12.7	13.1	11.2	60.8	51.9	40.9	35.3
Kazakhstan	KAZ	13.4	15.1	6.5	6.3	26.8	25.2	38.8	43.1
Kenya	KEN	2.2	2.4	1.5	1.3	23.4	23.6	21.2	20.0
Kyrgyzstan	KGZ	1.9	1.7	2.3	3.4	43.7	38.2	37.2	35.8
Cambodia	KHM	5.5	5.8	4.4	4.0	49.6	49.7	45.6	42.1
Kiribati	KIR	36.2	37.7	34.9	31.3	61.2	63.8	59.9	54.4
South Korea	KOR	8.1	5.2	5.4	5.9	65.8	58.8	45.9	41.8
Kuwait	KWT	4.8	3.4	3.3	3.5	43.8	30.6	30.0	31.3
Laos	LAO	13.3	13.0	12.1	11.4	60.5	60.3	54.1	51.3
Lebanon	LBN	30.6	33.4	23.9	21.2	49.0	49.4	35.0	33.6
Liberia	LBR	1.4	1.4	1.4	1.4	16.1	16.1	15.1	13.3
Libya	LBY	1.5	1.0	0.9	0.9	30.5	19.3	23.1	29.5
Saint Lucia	LCA	5.0	5.8	4.8	4.6	15.8	17.1	16.1	16.4
Sri Lanka	LKA	1.7	1.7	0.9	1.0	27.1	25.2	22.7	23.4
Lesotho	LSO	1.4	1.2	1.0	1.0	51.1	50.3	40.6	35.5
Lithuania	LTU	9.2	9.7	15.3	16.1	35.8	40.1	40.0	40.6
Luxembourg	LUX	28.1	27.1	24.0	22.7	39.5	33.2	31.4	30.1
Latvia	LVA	17.4	18.0	19.3	19.2	43.5	47.6	46.7	44.6
Morocco	MAR	0.8	0.7	0.7	0.7	29.4	28.1	27.1	26.7
Moldova	MDA	6.3	5.0	4.6	5.0	48.5	42.2	37.1	39.3
Madagascar	MDG	7.0	7.7	2.9	1.6	39.7	38.7	30.7	26.5
Maldives	MDV	9.6	9.8	8.1	7.6	32.7	31.3	33.0	34.6
Mexico	MEX	13.6	9.8	4.9	5.0	38.7	29.3	16.3	15.7
Marshall Islands	MHL	4.9	4.8	4.9	4.9	30.9	30.5	29.2	28.6
