File: IHME_GBD_2015_SMOKING_PREVALENCE_1990_2015_ANNUALIZED_RATE_OF_CHANGE_Y2017M04D05.CSV,,,,,,,,,,,,,,,,
Variable:,location_id,location_name,sex_id,sex_label,age_group_id,age_group_name,measure,mean_1990_2015,lower_1990_2015,upper_1990_2015,mean_1990_2005,lower_1990_2005,upper_1990_2005,mean_2005_2015,lower_2005_2015,upper_2005_2015
Label:,Location ID,Location name,Sex ID,Sex,Age group ID,Age group name,measure,Annualized rate of change 1990-2015: mean,Annualized rate of change 1990-2015: 95% uncertainty interval - lower bound,Annualized rate of change 1990-2015: 95% uncertainty interval - upper bound,Annualized rate of change 1990-2005: mean,Annualized rate of change 1990-2005: 95% uncertainty interval - lower bound,Annualized rate of change 1990-2005: 95% uncertainty interval - upper bound,Annualized rate of change 2005-2015: mean,Annualized rate of change 2005-2015: 95% uncertainty interval - lower bound,Annualized rate of change 2005-2015: 95% uncertainty interval - upper bound
,103,Latin America and Caribbean,,,,,,,,,,,,,,
,104,Caribbean,,,,,,,,,,,,,,
,105,Antigua and Barbuda,,,,,,,,,,,,,,
,106,The Bahamas,,,,,,,,,,,,,,
,107,Barbados,,,,,,,,,,,,,,
,108,Belize,,,,,,,,,,,,,,
,109,Cuba,,,,,,,,,,,,,,
,110,Dominica,,,,,,,,,,,,,,
,111,Dominican Republic,,,,,,,,,,,,,,
,112,Grenada,,,,,,,,,,,,,,
,113,Guyana,,,,,,,,,,,,,,
,114,Haiti,,,,,,,,,,,,,,
,115,Jamaica,,,,,,,,,,,,,,
,116,Saint Lucia,,,,,,,,,,,,,,
,117,Saint Vincent and the Grenadines,,,,,,,,,,,,,,
,118,Suriname,,,,,,,,,,,,,,
,119,Trinidad and Tobago,,,,,,,,,,,,,,
,120,Andean Latin America,,,,,,,,,,,,,,
,121,Bolivia,,,,,,,,,,,,,,
,122,Ecuador,,,,,,,,,,,,,,
,123,Peru,,,,,,,,,,,,,,
,125,Colombia,,,,,,,,,,,,,,
,126,Costa Rica,,,,,,,,,,,,,,
,127,El Salvador,,,,,,,,,,,,,,
,128,Guatemala,,,,,,,,,,,,,,
,129,Honduras,,,,,,,,,,,,,,
,130,Mexico,,,,,,,,,,,,,,
,131,Nicaragua,,,,,,,,,,,,,,
,132,Panama,,,,,,,,,,,,,,
,133,Venezuela,,,,,,,,,,,,,,
,134,Tropical Latin America,,,,,,,,,,,,,,
,135,Brazil,,,,,,,,,,,,,,
,136,Paraguay,,,,,,,,,,,,,,
,137,North Africa and Middle East,,,,,,,,,,,,,,
,138,North Africa and Middle East,,,,,,,,,,,,,,
,139,Algeria,,,,,,,,,,,,,,
,140,Bahrain,,,,,,,,,,,,,,
,141,Egypt,,,,,,,,,,,,,,
,142,Iran,,,,,,,,,,,,,,
