location_id,location_name,sex_id,sex,age_group_id,age_group_name,measure,mean_1990_2015,lower_1990_2015,upper_1990_2015,mean_1990_2005,lower_1990_2005,upper_1990_2005,mean_2005_2015,lower_2005_2015,upper_2005_2015
13,Malaysia,3,Both,27,Age-standardized,Daily smoking prevalence,-0.008095602,-0.013391981,-0.002446248,-0.007143114,-0.0148051,0.000730904,-0.009524333,-0.021610959,0.001848344
14,Maldives,1,Male,27,Age-standardized,Daily smoking prevalence,0.007113286,0.00067395,0.014168259,0.00372676,-0.006950886,0.014752318,0.012193076,-0.002171796,0.025720026
14,Maldives,2,Female,27,Age-standardized,Daily smoking prevalence,-0.011800825,-0.028563218,0.005973775,-0.006905034,-0.033281177,0.022393458,-0.019144511,-0.056351088,0.017200742
14,Maldives,3,Both,27,Age-standardized,Daily smoking prevalence,0.002278631,-0.004240565,0.008462441,0.000233835,-0.0100583,0.010471002,0.005345826,-0.007499102,0.018620182
15,Myanmar,1,Male,27,Age-standardized,Daily smoking prevalence,-0.015829414,-0.021156877,-0.010194372,-0.017475249,-0.025489792,-0.00984419,-0.013360661,-0.02398753,-0.002345239
15,Myanmar,2,Female,27,Age-standardized,Daily smoking prevalence,-0.012559564,-0.028953789,0.004330175,-0.003060466,-0.025826436,0.022925897,-0.02680821,-0.056771301,0.003116945
15,Myanmar,3,Both,27,Age-standardized,Daily smoking prevalence,-0.01519084,-0.020529319,-0.0097148,-0.014455079,-0.022978554,-0.006327163,-0.016294481,-0.0273025,-0.005427376
16,Philippines,1,Male,27,Age-standardized,Daily smoking prevalence,-0.004254865,-0.009924564,0.001938526,-0.001766505,-0.009162552,0.00614239,-0.007987403,-0.019863613,0.002992147
16,Philippines,2,Female,27,Age-standardized,Daily smoking prevalence,-0.008037224,-0.025106104,0.008639026,-0.00968781,-0.034470115,0.014858356,-0.005561346,-0.036580198,0.025504492
16,Philippines,3,Both,27,Age-standardized,Daily smoking prevalence,-0.004959123,-0.010534773,0.000824009,-0.003479559,-0.011142426,0.004380878,-0.007178469,-0.018428532,0.003590019
17,Sri Lanka,1,Male,27,Age-standardized,Daily smoking prevalence,-0.006182237,-0.013536857,0.001392779,-0.009602602,-0.019393517,0.00094964,-0.00105169,-0.015561086,0.012360914
17,Sri Lanka,2,Female,27,Age-standardized,Daily smoking prevalence,-0.036181055,-0.057677865,-0.014543388,-0.058806874,-0.0906137,-0.026755311,-0.002242321,-0.042593606,0.040661331
17,Sri Lanka,3,Both,27,Age-standardized,Daily smoking prevalence,-0.010511831,-0.017610451,-0.003074059,-0.015237006,-0.024689358,-0.005528063,-0.003424069,-0.017269826,0.008901516
18,Thailand,1,Male,27,Age-standardized,Daily smoking prevalence,-0.012971075,-0.017421747,-0.008597023,-0.018534703,-0.023927366,-0.012774123,-0.004625634,-0.015691839,0.006158136
18,Thailand,2,Female,27,Age-standardized,Daily smoking prevalence,-0.016151439,-0.036084678,0.004038232,-0.026529174,-0.055561133,0.002505794,-0.000584836,-0.042803917,0.038686071
18,Thailand,3,Both,27,Age-standardized,Daily smoking prevalence,-0.013408741,-0.018187761,-0.008740394,-0.019445401,-0.025319522,-0.012972921,-0.004353751,-0.015325752,0.006741845
